stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,10670,-510,5,-49526,74027,-31601,-515,774,-333,125620,140673,773,1316,1475,8,175146,66646,32374,1831,701,341
20260601,11180,-610,5,-44260,56861,-19882,-488,628,-219,154659,106306,103,1711,1178,1,198919,49445,19985,2199,550,220
20260529,11790,-610,5,-6539,14336,-21198,-79,172,-249,145195,72104,12,1713,856,0,151734,57768,21210,1792,685,249
20260528,12400,-650,5,-25783,53100,-21746,-319,655,-268,157433,103396,1,1964,1285,0,183216,50296,21747,2283,631,268
20260527,13050,-870,5,34820,-14303,-14238,463,-192,-186,181671,35015,2,2406,466,0,146851,49318,14240,1943,658,186
20260526,13920,-90,5,79285,-29212,-50774,1120,-423,-707,220605,63910,39,3145,911,1,141320,93122,50813,2024,1334,708
20260522,14010,360,2,21615,49342,-71157,293,702,-998,209235,124592,18,2963,1772,0,187620,75250,71175,2670,1070,998
20260521,13650,-380,5,114155,-102456,-14924,1586,-1426,-205,269829,23787,291,3744,335,4,155674,126243,15215,2158,1760,209
20260520,14030,190,2,12661,31638,-44398,186,400,-586,187980,139852,118,2505,1847,2,175319,108214,44516,2320,1447,588
20260519,13840,-810,5,-15566,51228,-35932,-210,705,-499,138648,90427,106,1937,1258,2,154214,39199,36038,2148,553,500
20260518,14650,-650,5,10409,23655,-34164,145,343,-489,224622,119873,576,3176,1703,8,214213,96218,34740,3031,1361,497
20260515,15300,-1150,5,24551,-20525,-4855,416,-352,-77,326429,67055,481,5218,1067,8,301878,87580,5336,4802,1419,85
20260514,16450,-560,5,53556,27304,-82923,886,445,-1366,277404,76030,0,4638,1267,0,223848,48726,82923,3752,822,1366
20260513,17010,-940,5,22260,-7458,-19912,382,-127,-341,323023,71464,113,5545,1239,2,300763,78922,20025,5164,1366,343
20260512,17950,-820,5,31182,12157,-31719,564,228,-574,366248,107447,142,6784,1997,3,335066,95290,31861,6220,1769,576
20260511,18770,-1330,5,30091,-11485,-18544,577,-225,-350,486191,49380,82,9336,958,2,456100,60865,18626,8759,1183,351
20260508,20100,-400,5,10571,-12146,-6389,222,-257,-129,549103,77420,196,11283,1578,4,538532,89566,6585,11061,1835,133
20260507,20500,200,2,42830,-25906,-18624,906,-560,-380,980783,158148,792,20348,3265,16,937953,184054,19416,19442,3825,397
20260506,20300,400,2,48320,-1498,-36960,1042,-91,-752,2190173,394194,838,45475,8078,17,2141853,395692,37798,44434,8169,769
20260504,19900,1080,2,100784,-9264,-92690,1999,-196,-1826,672204,174402,286,13288,3440,6,571420,183666,92976,11289,3636,1832
20260430,18820,-680,5,338658,-101909,-238088,6727,-2130,-4624,2326552,381060,7612,46580,7518,149,1987894,482969,245700,39853,9648,4773
20260429,19500,2400,2,11330,-10542,-2561,515,-498,-49,4308673,789402,7918,86376,15325,155,4297343,799944,10479,85862,15824,204
20260428,17100,-420,5,23028,-23165,0,397,-399,0,128498,29450,0,2208,506,0,105470,52615,0,1812,905,0
20260427,17520,120,2,-2218,1814,84,-43,35,1,131834,51176,86,2322,904,2,134052,49362,2,2364,869,0
20260424,17400,240,2,18021,-18189,168,305,-308,3,193987,63213,169,3388,1113,3,175966,81402,1,3083,1421,0
20260423,17160,30,2,-6237,11250,0,-123,211,0,246304,109591,0,4282,1921,0,252541,98341,0,4405,1710,0
20260422,17130,0,3,28843,-22781,-6048,492,-388,-103,144828,47458,84,2478,812,1,115985,70239,6132,1986,1201,105
20260421,17130,-280,5,33773,-27095,-5849,581,-467,-100,142656,38457,2,2447,659,0,108883,65552,5851,1866,1126,100
20260420,17410,-440,5,9692,-1066,-8684,170,-19,-152,107943,31517,6,1889,552,0,98251,32583,8690,1719,571,152
20260417,17850,-10,5,2634,-2610,-84,47,-46,-1,147517,69020,1,2627,1230,0,144883,71630,85,2580,1277,2
