stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,11910,-810,5,-85925,103923,-17801,-1010,1221,-209,147336,165049,2495,1739,1948,30,233261,61126,20296,2749,726,238
20260601,12720,-880,5,-44768,42201,2347,-577,543,31,273474,140176,3626,3600,1841,48,318242,97975,1279,4177,1298,17
20260529,13600,-870,5,49468,-40261,-3892,835,-697,-54,697466,229115,1319,10367,3323,20,647998,269376,5211,9533,4020,73
20260528,14470,-490,5,5939,-691,-4403,95,-19,-64,206249,85469,634,2995,1241,9,200310,86160,5037,2900,1260,73
20260527,14960,-1640,5,34568,-39563,4585,522,-601,71,255117,94885,5302,3949,1486,82,220549,134448,717,3427,2086,11
20260526,16600,380,2,5826,-4911,-165,99,-83,-3,261353,92473,109,4420,1566,2,255527,97384,274,4321,1649,5
20260522,16220,1310,2,59569,-50894,-5967,943,-806,-94,418080,154093,273,6641,2415,4,358511,204987,6240,5698,3222,98
20260521,14910,20,2,2473,2307,-5169,38,38,-82,301635,158041,329,4677,2456,5,299162,155734,5498,4638,2418,87
20260520,14890,-820,5,-66487,91170,-24295,-981,1345,-359,176978,165586,340,2624,2453,5,243465,74416,24635,3605,1108,364
20260519,15710,-1090,5,-6156,11540,-5484,-97,182,-87,185126,82558,359,2957,1325,6,191282,71018,5843,3054,1142,93
20260518,16800,-950,5,3160,-28943,2890,40,-458,48,309774,150276,3753,5073,2464,62,306614,179219,863,5032,2922,14
20260515,17750,-180,5,-18451,19873,962,-323,351,16,531664,214155,2435,9768,3934,43,550115,194282,1473,10091,3583,27
20260514,17930,-1470,5,121194,-62478,-31337,2211,-1151,-563,593783,133217,1210,10783,2426,22,472589,195695,32547,8572,3576,585
20260513,19400,-90,5,50033,-57165,302,977,-1117,5,395652,167199,1409,7673,3241,27,345619,224364,1107,6695,4359,22
20260512,19490,-710,5,-120292,118997,13392,-2228,2208,251,935987,478106,27544,17983,9148,522,1056279,359109,14152,20211,6940,272
20260511,20200,-2250,5,68957,-12551,-49646,1453,-292,-1018,1209286,274454,8355,25100,5706,171,1140329,287005,58001,23648,5999,1190
20260508,22450,700,2,226148,-239425,13499,5069,-5362,301,1269533,215617,14348,28178,4771,319,1043385,455042,849,23109,10133,18
20260507,21750,-7100,5,62965,-114424,50460,2109,-3296,1169,1787217,424598,91406,43408,10119,2120,1724252,539022,40946,41300,13416,951
20260506,28850,950,2,71072,-103707,38617,1986,-2873,1059,749652,165308,43578,20688,4532,1198,678580,269015,4961,18702,7405,139
20260504,27900,2400,2,-147049,121707,47598,-4095,3386,1329,1064512,449755,55343,29603,12506,1549,1211561,328048,7745,33698,9120,220
20260430,25500,50,2,89216,-129862,27155,2354,-3398,694,667194,167703,41127,17289,4339,1053,577978,297565,13972,14935,7736,360
20260429,25450,150,2,94581,-113575,15382,2367,-2846,393,598099,140295,20770,14734,3430,525,503518,253870,5388,12367,6276,132
20260428,25300,1300,2,266597,-119051,-150312,6762,-2963,-3804,2121003,575421,10477,55185,14942,274,1854406,694472,160789,48423,17904,4077
20260427,24000,2550,2,-155237,220242,-56517,-3655,5211,-1355,1045915,514453,26480,24975,12227,642,1201152,294211,82997,28630,7016,1998
20260424,21450,-600,5,109105,-95712,4689,2382,-2097,101,508569,130640,5920,10950,2795,127,399464,226352,1231,8568,4893,26
20260423,22050,-1300,5,7225,55403,-38971,147,1208,-847,581699,240965,19341,12767,5286,425,574474,185562,58312,12620,4078,1272
20260422,23350,650,2,92814,-85751,-9151,2125,-1968,-204,431968,104601,13979,9845,2370,319,339154,190352,23130,7720,4338,523
20260421,22700,-1350,5,16959,-11363,-6488,423,-296,-150,630216,234960,8838,14711,5486,204,613257,246323,15326,14288,5782,354
20260420,24050,1100,2,22084,81241,-80153,681,1943,-2062,1282425,471678,54397,31938,11684,1349,1260341,390437,134550,31257,9741,3412
20260417,22950,1900,2,-212658,155533,44269,-4860,3525,1005,1502234,507406,48661,34464,11574,1105,1714892,351873,4392,39324,8049,101
