stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,33750,-450,5,-38947,-5536,41393,-1307,-204,1405,66411,66052,51770,2247,2221,1753,105358,71588,10377,3554,2425,348
20260601,34200,-200,5,-52172,11909,40351,-1747,388,1361,53058,79434,44537,1791,2670,1503,105230,67525,4186,3538,2282,142
20260529,34400,-2100,5,-12234,-5795,19306,-417,-206,667,92044,53528,35875,3165,1843,1235,104278,59323,16569,3582,2048,568
20260528,36500,-2000,5,5197,-2673,-2287,218,-126,-83,94873,56424,14237,3495,2066,517,89676,59097,16524,3277,2192,600
20260527,38500,-1550,5,83088,-80254,-5651,3304,-3199,-215,223672,76291,12941,8874,3006,511,140584,156545,18592,5570,6206,725
20260526,40050,2950,2,31182,-46261,15224,1226,-1836,616,152019,89185,32706,6078,3567,1313,120837,135446,17482,4853,5403,697
20260522,37100,3400,2,-25897,8558,17253,-931,296,632,133148,112379,31061,4909,4120,1142,159045,103821,13808,5840,3825,510
20260521,33700,400,2,-27130,32239,-4128,-935,1094,-126,61995,73582,17842,2120,2512,616,89125,41343,21970,3055,1417,742
20260520,33300,-1800,5,-70181,63674,4240,-2307,2091,142,70408,123974,18258,2317,4076,603,140589,60300,14018,4624,1985,461
20260519,35100,-700,5,-17589,45631,-28650,-692,1629,-957,149935,144896,17656,5221,5110,630,167524,99265,46306,5913,3481,1587
20260518,35800,-3500,5,-9553,44246,-35427,-336,1564,-1254,152760,129364,12880,5481,4625,467,162313,85118,48307,5817,3061,1721
20260515,39300,-1700,5,-27201,46595,-14776,-1081,1848,-580,148196,92450,12669,5900,3683,504,175397,45855,27445,6981,1836,1084
20260514,41000,250,2,6546,23782,-30840,260,963,-1244,131513,55838,2644,5333,2267,108,124967,32056,33484,5073,1304,1352
20260513,40750,-2650,5,119919,-87591,-28131,5018,-3688,-1157,233810,26494,4546,9767,1112,193,113891,114085,32677,4749,4800,1350
20260512,43400,1600,2,-32822,42615,-11498,-1397,1817,-494,216458,119495,18830,9332,5126,807,249280,76880,30328,10729,3309,1301
20260511,41800,-2300,5,16670,15497,-29101,696,643,-1212,164226,47874,6741,6860,1998,282,147556,32377,35842,6164,1355,1494
20260508,44100,-100,5,19957,-449,-19228,882,-18,-851,108703,23902,942,4819,1063,42,88746,24351,20170,3937,1081,893
20260507,44200,-50,5,13247,9672,-24281,550,458,-1069,148690,43500,13198,6742,1997,608,135443,33828,37479,6192,1539,1677
20260506,44250,-2450,5,65697,-29931,-34102,2941,-1349,-1517,183982,19360,3727,8240,868,169,118285,49291,37829,5299,2217,1686
20260504,46700,-150,5,24245,-9252,-14020,1135,-434,-656,93648,19141,2383,4397,902,113,69403,28393,16403,3262,1335,769
20260430,46850,-1900,5,70143,-1151,-71941,3324,-63,-3400,161148,26153,3437,7647,1239,162,91005,27304,75378,4323,1302,3562
20260429,48750,-100,5,13207,-401,-12676,640,-14,-620,106398,22522,1063,5223,1115,52,93191,22923,13739,4583,1129,672
20260428,48850,-2050,5,60851,-10909,-38178,2985,-536,-1872,145197,31880,7824,7124,1566,385,84346,42789,46002,4139,2102,2257
20260427,50900,700,2,-26758,35333,-9519,-1371,1807,-484,134928,75014,7723,6852,3819,393,161686,39681,17242,8222,2012,876
20260424,50200,2800,2,-49782,37775,11687,-2462,1853,593,132775,99925,29942,6519,4905,1484,182557,62150,18255,8981,3052,891
20260423,47400,250,2,26957,-8784,-17914,1279,-419,-848,144045,32867,6338,6831,1558,300,117088,41651,24252,5551,1978,1147
20260422,47150,-1000,5,88437,-7650,-83054,4164,-368,-3903,164104,28133,4012,7741,1329,190,75667,35783,87066,3577,1697,4093
20260421,48150,-1700,5,114592,-50778,-66742,5535,-2482,-3201,228746,19625,5586,11073,943,274,114154,70403,72328,5538,3425,3475
20260420,49850,-750,5,49901,-27672,-17901,2515,-1395,-898,137271,20836,5883,6944,1064,301,87370,48508,23784,4429,2459,1199
20260417,50600,-700,5,36907,-22400,-13977,1886,-1147,-712,106957,21319,1651,5446,1084,84,70050,43719,15628,3559,2231,796
