stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,3050,-75,5,-17126,17126,0,-51,51,0,104322,49478,0,313,149,0,121448,32352,0,365,97,0
20260601,3125,-100,5,-13500,13500,0,-43,43,0,139599,78561,3349,429,245,10,153099,65061,3349,472,202,10
20260529,3225,-340,5,104128,11167,0,342,32,0,369910,152721,673,1208,501,2,265782,141554,673,866,469,2
20260528,3565,-160,5,-101271,101271,0,-356,356,0,139967,148572,2219,498,527,8,241238,47301,2219,854,170,8
20260527,3725,-295,5,11745,-11745,0,45,-45,0,187644,21261,578,712,81,2,175899,33006,578,667,126,2
20260526,4020,-5,5,26937,-26399,-538,109,-107,-2,257230,68548,505,1056,284,2,230293,94947,1043,947,390,4
20260522,4025,175,2,-46359,46072,287,-187,186,1,147583,101228,1283,595,409,5,193942,55156,996,783,223,4
20260521,3850,20,2,-26942,26691,251,-106,105,1,172087,84485,1156,678,334,5,199029,57794,905,784,229,4
20260520,3830,-120,5,-25958,26094,-136,-99,100,-1,88257,54462,1318,339,211,5,114215,28368,1454,438,111,6
20260519,3950,-105,5,-18860,20724,-1864,-76,84,-8,144428,66656,1485,571,267,6,163288,45932,3349,647,183,13
20260518,4055,-275,5,36782,108044,-29531,133,444,-120,333502,175691,1612,1350,720,7,296720,67647,31143,1218,276,126
20260515,4330,-770,5,72603,-72603,0,355,-355,0,554767,110402,852,2569,507,4,482164,183005,852,2214,862,4
20260514,5100,40,2,77710,-21352,-56513,405,-110,-296,404367,82867,1353,2091,429,7,326657,104219,57866,1686,538,303
20260513,5060,105,2,-59757,79186,-19429,-315,416,-102,803603,255788,1057,4238,1343,5,863360,176602,20486,4552,927,107
20260512,4955,-185,5,-54937,54937,0,-276,276,0,327421,121785,1425,1646,614,7,382358,66848,1425,1922,338,7
20260511,5140,-110,5,-16009,16199,-190,-83,84,-1,203560,37350,736,1053,194,4,219569,21151,926,1136,110,5
20260508,5250,-270,5,-17049,17552,-503,-94,97,-3,367807,76397,1422,1971,413,8,384856,58845,1925,2066,316,10
20260507,5520,-480,5,56529,-56529,0,324,-324,0,515654,57454,1344,2947,335,8,459125,113983,1344,2623,659,8
20260506,6000,30,2,87846,-21846,-66000,539,-129,-410,756853,161316,611,4620,988,4,669007,183162,66611,4081,1117,413
20260504,5970,-40,5,56919,58376,0,332,344,0,528333,114838,33,3128,681,0,471414,56462,33,2796,337,0
20260430,6010,-510,5,53281,-52281,-1000,337,-331,-7,564461,34793,229,3532,217,1,511180,87074,1229,3195,548,8
20260429,6520,-130,5,27399,-26899,-500,178,-175,-3,427191,70229,147,2823,469,1,399792,97128,647,2644,644,4
20260428,6650,-150,5,-28526,37815,-9289,-187,253,-66,789680,192792,0,5378,1313,0,818206,154977,9289,5566,1060,66
20260427,6800,-30,5,-275,3416,-3000,-5,27,-21,397666,67582,0,2731,467,0,397941,64166,3000,2736,440,21
20260424,6830,-80,5,73214,-41355,-31000,505,-280,-218,508542,45434,0,3518,319,0,435328,86789,31000,3014,599,218
20260423,6910,-50,5,34109,91226,-125224,233,666,-899,937562,221577,0,6655,1587,0,903453,130351,125224,6422,921,899
20260422,6960,-350,5,10232,4103,-15000,63,42,-110,720233,101300,0,5150,740,0,710001,97197,15000,5087,698,110
20260421,7310,-470,5,157640,-147640,-10000,1196,-1116,-80,907003,96326,0,6871,750,0,749363,243966,10000,5675,1866,80
20260420,7780,-590,5,497822,119120,-98117,3767,858,-778,2911109,542005,0,23320,4303,0,2413287,422885,98117,19553,3445,778
20260417,8370,-130,5,98696,-98580,0,911,-910,0,1893900,183141,0,16794,1606,0,1795204,281721,0,15883,2517,0
