stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,10050,-370,5,-96604,98549,-1945,-963,983,-20,285773,233853,220,2853,2335,2,382377,135304,2165,3816,1352,22
20260601,10420,-440,5,-86112,98738,-9631,-899,1037,-106,414015,233910,3309,4391,2474,35,500127,135172,12940,5290,1437,141
20260529,10860,-770,5,7360,1332073,-1337939,80,14184,-14247,576408,1584176,359,6414,17006,4,569048,252103,1338298,6334,2822,14251
20260528,11630,-490,5,-16833,17371,115,-175,182,1,734936,348733,1070,8943,4241,13,751769,331362,955,9118,4058,12
20260527,12120,-2040,5,205773,-205287,0,2685,-2677,0,749895,85807,69,9666,1113,1,544122,291094,69,6982,3790,1
20260526,14160,520,2,-17234,16732,2,-302,292,0,567596,250792,411,8031,3595,6,584830,234060,409,8333,3303,6
20260522,13640,-120,5,59267,-57637,-2097,813,-791,-29,381499,90876,739,5255,1252,10,322232,148513,2836,4442,2043,39
20260521,13760,1180,2,-66820,73122,-6302,-897,984,-86,590272,299777,123,8070,4083,2,657092,226655,6425,8967,3099,88
20260520,12580,-1170,5,-4098,8909,-5733,-49,109,-72,591729,252604,3872,7583,3247,49,595827,243695,9605,7631,3138,122
20260519,13750,-1280,5,9022,-8722,0,156,-152,0,816045,253927,880,11577,3605,13,807023,262649,880,11421,3757,13
20260518,15030,-1240,5,93146,-92988,-776,1392,-1390,-12,789626,193700,183,11834,2909,3,696480,286688,959,10442,4299,14
20260515,16270,-1530,5,218714,-218694,0,3682,-3682,0,1388706,177429,0,23133,2979,0,1169992,396123,0,19450,6660,0
20260514,17800,1170,2,-193679,199401,-488,-3371,3474,-9,4001700,1142251,1270,72362,20573,22,4195379,942850,1758,75732,17099,32
20260513,16630,470,2,8012,-3639,-2043,181,-105,-34,2380773,503315,621,40940,8642,11,2372761,506954,2664,40759,8747,44
20260512,16160,-1360,5,-14945,15323,-505,-285,291,-9,1576257,348953,143,26807,6058,3,1591202,333630,648,27092,5767,11
20260511,17520,-790,5,71028,-73755,-1,1320,-1369,0,2046720,286927,159,37090,5255,3,1975692,360682,160,35771,6623,3
20260508,18310,770,2,70859,-58356,-14462,1427,-1199,-265,8131518,1282386,992,153499,24120,19,8060659,1340742,15454,152073,25319,284
20260507,17540,370,2,-160468,167216,-1179,-2997,3120,-21,14808226,1453557,1493,281595,26696,26,14968694,1286341,2672,284592,23576,47
20260506,17170,-2810,5,97558,-87660,-7647,1743,-1574,-133,4778243,502466,5,86606,9140,0,4680685,590126,7652,84863,10714,133
20260504,19980,-1170,5,91846,-90317,-8127,1982,-1960,-164,5055216,479629,1039,103449,9780,22,4963370,569946,9166,101466,11740,185
20260430,21150,-1400,5,99043,-78785,-1798,2369,-1903,-44,23202268,792235,350,547933,18728,8,23103225,871020,2148,545565,20631,52
20260429,22550,10250,2,7131772,-2359407,-2535374,142868,-46432,-48317,119524582,1171911,71605,2894865,27833,1131,112392810,3531318,2606979,2751997,74265,49448
