stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,6210,220,2,-11482,10241,1241,-66,59,7,61732,65321,1769,362,384,10,73214,55080,528,429,325,3
20260601,5990,-420,5,-19228,34351,-14123,-118,209,-85,137809,81259,187,832,493,1,157037,46908,14310,950,284,86
20260529,6410,-330,5,2754,-2701,-168,18,-18,-1,67426,31851,1588,431,204,10,64672,34552,1756,413,221,11
20260528,6740,80,2,-17225,17747,-522,-114,118,-4,54333,51398,1152,364,343,8,71558,33651,1674,478,226,11
20260527,6660,-570,5,42057,10788,-46734,290,67,-316,160998,56179,973,1094,378,7,118941,45391,47707,805,311,322
20260526,7230,-260,5,12442,-14086,284,92,-104,2,70423,19580,777,517,144,6,57981,33666,493,425,247,4
20260522,7490,440,2,46,11602,-11648,1,86,-87,63007,33992,461,470,253,3,62961,22390,12109,469,167,90
20260521,7050,-90,5,-8555,16072,-7517,-61,116,-55,57950,35234,4071,418,255,29,66505,19162,11588,479,139,84
20260520,7140,-150,5,-18533,29200,-10667,-131,206,-75,43389,46628,2771,308,331,20,61922,17428,13438,439,124,95
20260519,7290,-230,5,-6620,18888,-5588,-46,135,-40,62069,45056,3980,456,329,30,68689,26168,9568,502,193,70
20260518,7520,-210,5,-31020,28418,3261,-231,211,25,32951,46283,3675,245,345,28,63971,17865,414,476,134,3
20260515,7730,-420,5,2074,12650,-11346,22,91,-86,183254,38437,4992,1416,295,40,181180,25787,16338,1394,204,125
20260514,8150,-50,5,3582,22975,-25357,29,185,-204,116875,40463,1343,942,327,11,113293,17488,26700,913,142,215
20260513,8200,-210,5,7214,15244,-22458,60,127,-188,133300,36895,1239,1118,310,11,126086,21651,23697,1058,183,198
20260512,8410,-550,5,3287,4988,-6784,26,44,-57,198010,52846,468,1697,454,4,194723,47858,7252,1671,409,61
20260511,8960,-460,5,2641,-2553,-288,26,-25,-3,195476,29197,810,1764,265,7,192835,31750,1098,1738,290,10
20260508,9420,-220,5,-6121,-3484,2222,-62,-33,21,240306,76614,3048,2347,754,29,246427,80098,826,2409,787,8
20260507,9640,-70,5,717,-3872,3155,6,-37,31,78793,18420,4544,765,180,44,78076,22292,1389,758,216,13
20260506,9710,110,2,5584,-6223,612,53,-59,6,122691,28497,837,1192,279,8,117107,34720,225,1140,338,2
20260504,9600,50,2,-17658,21480,-3922,-171,207,-38,103861,45311,208,1003,438,2,121519,23831,4130,1173,230,40
20260430,9550,-360,5,40689,-39461,-1228,394,-382,-12,140901,15056,360,1362,146,3,100212,54517,1588,968,528,15
20260429,9910,40,2,45824,-45735,-98,457,-456,-1,206326,24065,360,2067,244,4,160502,69800,458,1611,700,5
20260428,9870,-110,5,26114,-19299,-8685,259,-192,-86,209899,45854,812,2098,461,8,183785,65153,9497,1839,652,94
20260427,9980,-310,5,-9988,23579,-15616,-103,240,-157,195550,58678,1301,1977,596,13,205538,35099,16917,2081,356,170
20260424,10290,970,2,95713,-86055,-8918,1015,-917,-91,1284687,323514,204,13167,3286,2,1188974,409569,9122,12152,4203,93
20260423,9320,20,2,4321,-249,-4002,41,-3,-37,86469,28108,0,810,263,0,82148,28357,4002,769,266,37
20260422,9300,-180,5,15607,-8400,-7207,146,-79,-67,106196,18308,110,990,171,1,90589,26708,7317,845,250,68
20260421,9480,-150,5,21782,-17512,-4528,207,-167,-43,103722,10960,0,986,104,0,81940,28472,4528,779,271,43
20260420,9630,-70,5,9337,-6359,-3729,90,-61,-36,84060,18431,0,807,178,0,74723,24790,3729,718,238,36
20260417,9700,-290,5,50018,-37595,-11997,488,-367,-117,124075,7820,0,1209,76,0,74057,45415,11997,722,443,117
