stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,10110,70,2,-8725,8670,55,-87,86,1,45149,33729,368,455,340,4,53874,25059,313,542,254,3
20260601,10040,-340,5,-4945,4924,21,-49,49,0,45594,32475,240,470,334,2,50539,27551,219,519,285,2
20260529,10380,-540,5,2321,-2372,51,24,-25,1,44852,23657,198,465,246,2,42531,26029,147,441,270,2
20260528,10920,-240,5,-11856,11763,93,-130,129,1,40588,30671,398,436,332,4,52444,18908,305,566,204,3
20260527,11160,-560,5,-11421,11653,-232,-130,132,-3,32717,31067,146,371,353,2,44138,19414,378,501,221,4
20260526,11720,-430,5,15849,2609,-13718,191,31,-165,49847,24520,264,600,295,3,33998,21911,13982,409,265,168
20260522,12150,610,2,-6645,6797,-152,-78,79,-2,49985,35180,25,603,423,0,56630,28383,177,681,343,2
20260521,11540,690,2,9542,-3762,-5880,113,-47,-68,62667,38039,495,723,437,6,53125,41801,6375,610,483,73
20260520,10850,-620,5,-24793,39657,-14164,-268,428,-153,51455,70796,128,559,767,1,76248,31139,14292,826,338,154
20260519,11470,-450,5,-27452,35056,-7780,-314,402,-89,34239,50896,626,395,585,7,61691,15840,8406,709,184,97
20260518,11920,-470,5,-32295,32695,650,-377,381,8,47433,66453,912,558,779,11,79728,33758,262,935,397,3
20260515,12390,-900,5,4127,3945,-6822,59,44,-86,81376,31674,528,1034,401,7,77249,27729,7350,975,357,93
20260514,13290,-740,5,-2362,9916,-6841,-30,130,-91,107283,37293,190,1438,497,3,109645,27377,7031,1468,367,94
20260513,14030,70,2,-2320,1332,-225,-32,18,-3,40594,23560,103,562,326,1,42914,22228,328,594,308,5
20260512,13960,-600,5,-3357,3099,-92,-54,51,-1,86138,48078,363,1234,694,5,89495,44979,455,1288,644,6
20260511,14560,-740,5,4739,-4993,-121,70,-74,-2,87642,28717,137,1294,425,2,82903,33710,258,1224,498,4
20260508,15300,1360,2,12684,-17057,3748,228,-294,57,382608,123016,3975,5937,1875,60,369924,140073,227,5709,2169,3
20260507,13940,-440,5,15518,-15788,0,215,-219,0,122821,21854,42,1719,308,1,107303,37642,42,1503,528,1
20260506,14380,-600,5,7962,-8112,0,117,-119,0,101067,29005,137,1471,422,2,93105,37117,137,1354,541,2
20260504,14980,-110,5,14923,-14923,0,227,-227,0,69218,14086,131,1049,215,2,54295,29009,131,823,441,2
20260430,15090,-350,5,7508,-7508,0,114,-114,0,63178,13957,0,970,216,0,55670,21465,0,856,330,0
20260429,15440,-310,5,9290,-9325,-115,146,-146,-2,65034,11198,0,1009,173,0,55744,20523,115,863,320,2
20260428,15750,-290,5,11992,-3560,-8432,190,-56,-133,68749,18590,0,1088,295,0,56757,22150,8432,899,351,133
20260427,16040,250,2,-12559,14552,407,-200,232,7,86555,38485,801,1397,618,13,99114,23933,394,1596,387,6
20260424,15790,-150,5,7033,-2015,-5018,111,-32,-79,54181,14658,1,854,231,0,47148,16673,5019,743,263,79
20260423,15940,80,2,16859,-14654,-13,268,-232,0,83246,20278,0,1329,325,0,66387,34932,13,1062,557,0
20260422,15860,20,2,16428,-14823,-1605,261,-236,-25,78702,11662,2,1245,184,0,62274,26485,1607,984,420,25
20260421,15840,-170,5,2146,-1146,0,34,-18,0,70183,18543,1,1113,295,0,68037,19689,1,1079,313,0
20260420,16010,240,2,16020,-15873,2853,259,-257,46,76614,19720,3001,1226,314,48,60594,35593,148,967,571,2
20260417,15770,-270,5,3800,-3800,0,63,-63,0,69159,22608,0,1102,359,0,65359,26408,0,1039,422,0
