stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,4190,90,2,5211,-150,-5550,21,0,-23,15346,12345,15821,63,51,65,10135,12495,21371,42,51,88
20260601,4100,-80,5,5753,11481,-6755,24,47,-28,37875,18475,7495,156,76,31,32122,6994,14250,132,29,58
20260529,4180,5,2,-1516,4029,-3194,-6,17,-13,16989,6661,4174,70,28,17,18505,2632,7368,76,11,30
20260528,4175,-65,5,13893,-2056,-11837,58,-9,-49,20646,2833,8789,86,12,37,6753,4889,20626,28,20,86
20260527,4240,15,2,-1620,-1133,3005,-7,-5,13,5665,2562,7734,24,11,33,7285,3695,4729,31,16,20
20260526,4225,30,2,-12287,10759,1776,-52,45,8,6798,13662,6631,29,57,28,19085,2903,4855,80,12,20
20260522,4195,-5,5,13719,1260,-17298,57,5,-72,25222,6812,16929,105,29,71,11503,5552,34227,48,23,143
20260521,4200,-40,5,24539,-10263,-14776,102,-43,-61,35636,6536,28583,149,27,119,11097,16799,43359,47,70,181
20260520,4240,-5,5,-4870,-1119,5989,-21,-5,25,6910,3854,11029,29,16,46,11780,4973,5040,50,21,21
20260519,4245,50,2,1441,-135,2694,6,-1,12,8534,6442,18170,36,27,76,7093,6577,15476,30,28,65
20260518,4195,-5,5,-12760,18400,-6640,-53,76,-28,16067,24457,1201,67,102,5,28827,6057,7841,120,25,33
20260515,4200,-30,5,3646,4627,-9473,15,20,-40,26962,15550,5822,113,65,25,23316,10923,15295,98,46,64
20260514,4230,-55,5,-16808,23481,-9243,-71,99,-39,40695,31564,13360,172,134,57,57503,8083,22603,243,34,96
20260513,4285,10,2,-5239,-2068,-2353,-22,-9,-10,5942,5185,21250,25,22,91,11181,7253,23603,48,31,101
20260512,4275,5,2,13500,3603,-21555,57,15,-91,26321,5873,10645,111,25,45,12821,2270,32200,54,10,136
20260511,4270,-25,5,10030,9102,-19132,43,39,-81,42116,10714,13655,179,46,58,32086,1612,32787,136,7,140
20260508,4295,-35,5,53915,-13041,-42785,230,-56,-183,61563,8683,16169,263,37,69,7648,21724,58954,33,93,252
20260507,4330,30,2,16325,-1714,-14611,70,-8,-63,26358,16927,31629,113,73,136,10033,18641,46240,43,80,199
20260506,4300,-40,5,75610,-19406,-544604,324,-83,-2341,106404,10767,26198,456,46,112,30794,30173,570802,132,129,2453
20260504,4340,15,2,26426,-11930,-14496,114,-52,-62,44891,5968,44018,193,26,190,18465,17898,58514,80,77,252
20260430,4325,-40,5,34476,3027,-53303,149,13,-231,50932,15230,13837,220,66,60,16456,12203,67140,72,53,291
20260429,4365,-55,5,124833,-4388,-122445,540,-20,-529,182356,17042,19597,791,74,86,57523,21430,142042,251,93,615
20260428,4420,0,3,-5583,5762,-179,-25,25,-1,24487,15208,56300,108,67,250,30070,9446,56479,133,42,251
20260427,4420,0,3,14429,219,-14648,64,1,-65,22905,5713,22031,102,25,98,8476,5494,36679,38,24,163
20260424,4420,5,2,9658,1573,-11231,43,7,-50,15015,3153,8035,66,14,36,5357,1580,19266,24,7,85
20260423,4415,-5,5,34168,22364,-61532,152,99,-273,48184,30051,36459,214,133,162,14016,7687,97991,62,34,435
20260422,4420,40,2,9324,-1272,-8052,41,-6,-35,19633,4147,16446,87,18,72,10309,5419,24498,45,24,108
20260421,4380,-10,5,12736,3425,-16161,56,15,-71,21978,19580,21969,97,86,97,9242,16155,38130,41,71,168
20260420,4390,15,2,2155,11428,-13583,9,50,-60,18039,16275,14805,80,72,65,15884,4847,28388,70,21,125
20260417,4375,-40,5,8584,-381,-8203,38,-2,-36,11092,7082,13922,49,31,61,2508,7463,22125,11,33,97
