stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,2010,-5,5,2453,188,-2641,5,0,-5,4023,188,0,8,0,0,1570,0,2641,3,0,5
20260601,2015,-10,5,-3733,223,3510,-8,0,7,1183,223,3510,2,0,7,4916,0,0,10,0,0
20260529,2025,0,3,-212,0,212,0,0,0,176,0,212,0,0,0,388,0,0,1,0,0
20260528,2025,-5,5,-2218,0,2218,-4,0,4,114,0,2218,0,0,4,2332,0,0,5,0,0
20260527,2030,-5,5,0,0,0,0,0,0,593,0,0,1,0,0,593,0,0,1,0,0
20260526,2035,5,2,-20,-3262,3282,0,-7,7,105,0,3282,0,0,7,125,3262,0,0,7,0
20260522,2030,10,2,-653,0,653,-1,0,1,7416,0,653,15,0,1,8069,0,0,16,0,0
20260521,2020,10,2,0,0,0,0,0,0,9095,0,0,18,0,0,9095,0,0,18,0,0
20260520,2010,0,3,-347,0,347,-1,0,1,4332,0,347,9,0,1,4679,0,0,9,0,0
20260519,2010,0,3,21487,3394,-34881,43,7,-70,26735,5442,93000,53,11,187,5248,2048,127881,10,4,257
20260518,2010,-5,5,21732,-1434,-20298,44,-3,-41,23783,94,0,48,0,0,2051,1528,20298,4,3,41
20260515,2015,5,2,995,-991,-4,2,-2,0,7577,0,0,15,0,0,6582,991,4,13,2,0
20260514,2010,-15,5,22631,901,-23532,45,2,-47,22735,1011,15004,46,2,30,104,110,38536,0,0,77
20260513,2025,5,2,38619,0,-38619,78,0,-78,40987,9,0,83,0,0,2368,9,38619,5,0,78
20260512,2020,5,2,61154,-1154,-60000,123,-2,-120,74108,1088,0,149,2,0,12954,2242,60000,26,5,120
20260511,2015,0,3,-7650,-289,7939,-15,-1,16,17086,195,20000,34,0,40,24736,484,12061,50,1,24
20260508,2015,0,3,0,0,0,0,0,0,1787,0,0,4,0,0,1787,0,0,4,0,0
20260507,2015,-5,5,-60,60,0,0,0,0,9191,60,0,19,0,0,9251,0,0,19,0,0
20260506,2020,-5,5,-774,564,67,-2,1,0,29101,564,250,59,1,1,29875,0,183,60,0,0
20260504,2025,-20,5,8545,2832,-11377,17,6,-23,16240,2844,250,33,6,1,7695,12,11627,16,0,24
20260430,2042,-8,5,-5700,0,5700,-12,0,12,2927,0,5700,6,0,12,8627,0,0,18,0,0
20260429,2047,-3,5,-29235,-15,29250,-60,0,60,2602,0,30000,5,0,61,31837,15,750,65,0,2
20260428,2050,0,3,-9899,-101,10000,-20,0,20,477,0,10000,1,0,20,10376,101,0,21,0,0
20260427,2050,5,2,108,-108,0,0,0,0,4201,0,0,9,0,0,4093,108,0,8,0,0
20260424,2045,5,2,0,0,0,0,0,0,118,0,0,0,0,0,118,0,0,0,0,0
20260423,2040,5,2,2358,224,-3441,5,0,-7,8022,372,0,16,1,0,5664,148,3441,12,0,7
20260422,2035,-20,5,-14,0,14,0,0,0,10587,12,164,21,0,0,10601,12,150,22,0,0
20260421,2055,5,2,0,0,0,0,0,0,1448,0,0,3,0,0,1448,0,0,3,0,0
20260420,2050,-10,5,10000,0,-10000,21,0,-21,10108,0,0,21,0,0,108,0,10000,0,0,21
20260417,2060,-5,5,58,-58,0,0,0,0,1089,0,0,2,0,0,1031,58,0,2,0,0
