stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,1995,-2,5,-6064,-154,6218,-12,0,12,9419,0,6958,19,0,14,15483,154,740,31,0,1
20260601,1997,-23,5,-3,3,0,0,0,0,3557,3,0,7,0,0,3560,0,0,7,0,0
20260529,2020,21,2,-19997,-3,20000,-40,0,40,2709,231,20000,5,0,40,22706,234,0,46,0,0
20260528,1999,-1,5,0,0,0,0,0,0,864,0,0,2,0,0,864,0,0,2,0,0
20260527,2000,0,3,437,-437,0,1,-1,0,5562,0,0,11,0,0,5125,437,0,10,1,0
20260526,2000,-10,5,63,-63,0,0,0,0,3051,0,0,6,0,0,2988,63,0,6,0,0
20260522,2010,10,2,-490,490,0,-1,1,0,230,500,0,0,1,0,720,10,0,1,0,0
20260521,2000,1,2,0,0,0,0,0,0,394,0,0,1,0,0,394,0,0,1,0,0
20260520,1999,-1,5,123,-123,0,0,0,0,22478,0,0,45,0,0,22355,123,0,45,0,0
20260519,2000,3,2,0,0,0,0,0,0,7933,0,0,16,0,0,7933,0,0,16,0,0
20260518,1997,-3,5,-1,1,0,0,0,0,8340,1,0,17,0,0,8341,0,0,17,0,0
20260515,2000,-10,5,-403,-95,498,-1,0,1,17331,0,498,35,0,1,17734,95,0,36,0,0
20260514,2010,0,3,0,0,0,0,0,0,58,0,0,0,0,0,58,0,0,0,0,0
20260513,2010,10,2,-3673,0,3673,-7,0,7,8009,0,3700,16,0,7,11682,0,27,23,0,0
20260512,2000,0,3,143,-143,0,0,0,0,1913,0,0,4,0,0,1770,143,0,4,0,0
20260511,2000,-5,5,-20238,238,20000,-41,0,40,9093,272,20000,18,1,40,29331,34,0,59,0,0
20260508,2005,5,2,0,0,0,0,0,0,4469,131,0,9,0,0,4469,131,0,9,0,0
20260507,2000,-10,5,0,0,0,0,0,0,1429,38,0,3,0,0,1429,38,0,3,0,0
20260506,2010,10,2,-13985,-1070,15000,-28,-2,30,5452,14,15000,11,0,30,19437,1084,0,39,2,0
20260504,2000,0,3,0,0,0,0,0,0,805,0,0,2,0,0,805,0,0,2,0,0
20260430,2000,-15,5,-6200,0,6200,-12,0,12,23450,291,6200,47,1,12,29650,291,0,60,1,0
20260429,2015,10,2,-20000,0,20000,-40,0,40,695,0,20000,1,0,40,20695,0,0,42,0,0
20260428,2005,-10,5,0,0,0,0,0,0,3077,0,0,6,0,0,3077,0,0,6,0,0
20260427,2015,5,2,5000,0,-5000,10,0,-10,14328,0,0,29,0,0,9328,0,5000,19,0,10
20260424,2010,-5,5,-2674,0,0,-5,0,0,14450,0,0,29,0,0,17124,0,0,34,0,0
20260423,2015,0,3,0,0,0,0,0,0,2001,0,0,4,0,0,2001,0,0,4,0,0
20260422,2015,5,2,0,0,0,0,0,0,711,0,0,1,0,0,711,0,0,1,0,0
20260421,2010,-5,5,-145,0,145,0,0,0,519,0,145,1,0,0,664,0,0,1,0,0
20260420,2015,5,2,-167,0,167,0,0,0,3583,0,167,7,0,0,3750,0,0,8,0,0
20260417,2010,0,3,640,0,-640,1,0,-1,4482,0,1406,9,0,3,3842,0,2046,8,0,4
