stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,2000,-5,5,0,0,0,0,0,0,3448,0,0,7,0,0,3448,0,0,7,0,0
20260601,2005,0,3,0,0,0,0,0,0,2539,0,0,5,0,0,2539,0,0,5,0,0
20260529,2005,0,3,-10000,0,10000,-20,0,20,1247,0,10000,2,0,20,11247,0,0,23,0,0
20260528,2005,0,3,0,0,0,0,0,0,559,0,0,1,0,0,559,0,0,1,0,0
20260527,2005,5,2,0,0,0,0,0,0,13063,0,0,26,0,0,13063,0,0,26,0,0
20260526,2000,-5,5,-140,140,0,0,0,0,3109,140,0,6,0,0,3249,0,0,6,0,0
20260522,2002,2,2,5000,0,-5000,10,0,-10,7781,0,0,16,0,0,2781,0,5000,6,0,10
20260521,2000,0,3,0,0,0,0,0,0,4843,0,0,10,0,0,4843,0,0,10,0,0
20260520,2000,-5,5,-49,49,0,0,0,0,3317,134,0,7,0,0,3366,85,0,7,0,0
20260519,2005,0,3,725,-725,0,1,-1,0,3971,132,0,8,0,0,3246,857,0,6,2,0
20260518,2005,0,3,-1045,1045,0,-2,2,0,35206,1045,0,71,2,0,36251,0,0,73,0,0
20260515,2005,0,3,-8,8,0,0,0,0,5891,8,0,12,0,0,5899,0,0,12,0,0
20260514,2005,-5,5,0,0,0,0,0,0,169,0,0,0,0,0,169,0,0,0,0,0
20260513,2010,0,3,63563,28,-63591,127,0,-127,65526,28,16409,131,0,33,1963,0,80000,4,0,160
20260512,2010,0,3,-9224,20,9204,-18,0,18,116,20,9204,0,0,18,9340,0,0,19,0,0
20260511,2010,0,3,-4193,-116,4309,-8,0,9,3166,38,4309,6,0,9,7359,154,0,15,0,0
20260508,2010,0,3,-787,48,739,-2,0,1,45,48,739,0,0,1,832,0,0,2,0,0
20260507,2010,0,3,-2424,-786,3210,-5,-2,6,110,214,3210,0,0,6,2534,1000,0,5,2,0
20260506,2010,0,3,-1806,1082,0,-4,2,0,3461,1146,0,7,2,0,5267,64,0,11,0,0
20260504,2010,0,3,0,0,0,0,0,0,2662,0,0,5,0,0,2662,0,0,5,0,0
20260430,2010,0,3,184,-184,0,0,0,0,2500,0,0,5,0,0,2316,184,0,5,0,0
20260429,2010,0,3,0,0,0,0,0,0,1974,0,0,4,0,0,1974,0,0,4,0,0
20260428,2010,0,3,0,0,0,0,0,0,280,0,0,1,0,0,280,0,0,1,0,0
20260427,2010,0,3,-154,154,0,0,0,0,12920,154,0,26,0,0,13074,0,0,26,0,0
20260424,2010,0,3,0,0,0,0,0,0,257,0,0,1,0,0,257,0,0,1,0,0
20260423,2010,5,2,101869,0,-101869,204,0,-204,104843,0,1186,210,0,2,2974,0,103055,6,0,207
20260422,2005,-10,5,6089,-195,-5894,12,0,-12,6804,0,1464,14,0,3,715,195,7358,1,0,15
20260421,2015,5,2,-1618,0,1618,-3,0,3,18,0,1618,0,0,3,1636,0,0,3,0,0
20260420,2010,-10,5,17805,195,-18000,36,0,-36,22835,195,2000,46,0,4,5030,0,20000,10,0,40
20260417,2020,5,2,-1460,0,1460,-3,0,3,2031,0,1460,4,0,3,3491,0,0,7,0,0
