stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,1993,-4,5,-12000,0,12000,-24,0,24,9607,0,16000,19,0,32,21607,0,4000,43,0,8
20260601,1997,-8,5,-407,0,407,-1,0,1,5412,0,407,11,0,1,5819,0,0,12,0,0
20260529,2005,0,3,0,0,0,0,0,0,767,10,0,2,0,0,767,10,0,2,0,0
20260528,2005,0,3,0,0,0,0,0,0,447,0,0,1,0,0,447,0,0,1,0,0
20260527,2005,-5,5,0,0,0,0,0,0,102,0,0,0,0,0,102,0,0,0,0,0
20260526,2010,0,3,0,0,0,0,0,0,384,0,0,1,0,0,384,0,0,1,0,0
20260522,2010,11,2,-13227,0,0,-27,0,0,21787,0,0,44,0,0,35014,0,0,71,0,0
20260521,1999,-1,5,0,0,0,0,0,0,803,0,0,2,0,0,803,0,0,2,0,0
20260520,2000,3,2,0,0,0,0,0,0,2132,0,0,4,0,0,2132,0,0,4,0,0
20260519,1997,2,2,0,0,0,0,0,0,5321,0,0,11,0,0,5321,0,0,11,0,0
20260518,1995,-1,5,0,0,0,0,0,0,13335,0,0,27,0,0,13335,0,0,27,0,0
20260515,1996,0,3,2000,0,-2000,4,0,-4,2286,0,0,5,0,0,286,0,2000,1,0,4
20260514,1996,-4,5,3337,0,-1500,7,0,-3,3742,11,0,7,0,0,405,11,1500,1,0,3
20260513,2000,6,2,-3268,0,3268,-7,0,7,3710,16,5000,7,0,10,6978,16,1732,14,0,3
20260512,1994,-2,5,0,0,0,0,0,0,1173,0,0,2,0,0,1173,0,0,2,0,0
20260511,1996,-4,5,5308,-2037,-3271,11,-4,-7,9488,0,65,19,0,0,4180,2037,3336,8,4,7
20260508,2000,0,3,121,-121,0,0,0,0,1274,0,0,3,0,0,1153,121,0,2,0,0
20260507,2000,-10,5,0,0,0,0,0,0,4405,0,0,9,0,0,4405,0,0,9,0,0
20260506,2010,10,2,-51,51,0,0,0,0,3213,51,0,6,0,0,3264,0,0,7,0,0
20260504,2000,0,3,35,-35,0,0,0,0,4588,0,0,9,0,0,4553,35,0,9,0,0
20260430,2000,0,3,218,-218,0,0,0,0,11884,63,0,24,0,0,11666,281,0,23,1,0
20260429,2000,0,3,1,-1,0,0,0,0,1029,0,0,2,0,0,1028,1,0,2,0,0
20260428,2000,0,3,2457,43,-2500,5,0,-5,3230,43,0,6,0,0,773,0,2500,2,0,5
20260427,2000,-5,5,3574,-1963,-1611,7,-4,-3,5513,0,0,11,0,0,1939,1963,1611,4,4,3
20260424,2005,-5,5,-9765,3947,-2000,-20,8,-4,11048,4061,0,22,8,0,20813,114,2000,42,0,4
20260423,2010,-10,5,1991,9,-2000,4,0,-4,3379,9,0,7,0,0,1388,0,2000,3,0,4
20260422,2020,5,2,2000,0,-2000,4,0,-4,2170,0,0,4,0,0,170,0,2000,0,0,4
20260421,2015,5,2,5461,44,-5505,11,0,-11,11639,420,2000,23,1,4,6178,376,7505,12,1,15
20260420,2010,0,3,-2898,0,0,-6,0,0,6793,0,0,14,0,0,9691,0,0,20,0,0
20260417,2010,5,2,8200,0,-8200,16,0,-16,8651,0,0,17,0,0,451,0,8200,1,0,16
