stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,2145,-15,5,3517,-17,-3500,7,0,-7,17875,162,500,38,0,1,14358,179,4000,31,0,9
20260601,2160,0,3,365,-365,0,1,-1,0,10657,418,0,23,1,0,10292,783,0,22,2,0
20260529,2160,10,2,-10192,192,20000,-22,0,43,22855,1575,20000,49,3,43,33047,1383,0,71,3,0
20260528,2150,10,2,-2,2,0,0,0,0,13600,44,0,29,0,0,13602,42,0,29,0,0
20260527,2140,-5,5,-764,764,0,-2,2,0,15744,842,0,34,2,0,16508,78,0,35,0,0
20260526,2145,-5,5,379,-379,0,1,-1,0,5591,0,0,12,0,0,5212,379,0,11,1,0
20260522,2150,-10,5,-318,318,0,-1,1,0,9070,318,0,20,1,0,9388,0,0,20,0,0
20260521,2160,-5,5,955,-162,-793,2,0,-2,7976,60,0,17,0,0,7021,222,793,15,0,2
20260520,2165,-5,5,-98,98,0,0,0,0,12188,104,0,26,0,0,12286,6,0,26,0,0
20260519,2170,-10,5,1276,-270,-1006,3,-1,-2,15322,307,0,33,1,0,14046,577,1006,30,1,2
20260518,2180,-5,5,618,-618,0,1,-1,0,18410,0,0,40,0,0,17792,618,0,39,1,0
20260515,2185,-35,5,-265,265,0,-1,1,0,7298,383,0,16,1,0,7563,118,0,17,0,0
20260514,2220,0,3,-149,149,0,0,0,0,2984,149,0,7,0,0,3133,0,0,7,0,0
20260513,2220,40,2,-17144,-967,18111,-38,-2,40,9207,113,20000,20,0,44,26351,1080,1889,58,2,4
20260512,2180,0,3,-127,127,0,0,0,0,9731,127,0,21,0,0,9858,0,0,22,0,0
20260511,2180,-15,5,-15536,557,0,-34,1,0,51008,1062,0,110,2,0,66544,505,0,144,1,0
20260508,2195,10,2,0,0,0,0,0,0,3359,0,0,7,0,0,3359,0,0,7,0,0
20260507,2185,0,3,2,-2,0,0,0,0,3009,0,0,7,0,0,3007,2,0,7,0,0
20260506,2185,5,2,10054,-54,-10000,22,0,-22,19381,369,0,42,1,0,9327,423,10000,20,1,22
20260504,2180,15,2,-158,158,0,0,0,0,17662,548,0,39,1,0,17820,390,0,39,1,0
20260430,2165,5,2,0,0,0,0,0,0,20215,0,0,44,0,0,20215,0,0,44,0,0
20260429,2160,0,3,-1001,1,0,-2,0,0,39554,1,0,86,0,0,40555,0,0,88,0,0
20260428,2160,0,3,1361,-1361,0,3,-3,0,85105,1338,0,185,3,0,83744,2699,0,182,6,0
20260427,2160,-35,5,-2146,146,2000,-5,0,4,64602,293,2000,140,1,4,66748,147,0,145,0,0
20260424,2195,-5,5,992,-514,-478,2,-1,-1,25747,0,0,57,0,0,24755,514,478,54,1,1
20260423,2200,5,2,16428,2527,-18955,36,6,-42,111992,2814,0,247,6,0,95564,287,18955,210,1,42
20260422,2195,-5,5,3833,-3499,-334,8,-8,-1,21359,0,0,47,0,0,17526,3499,334,39,8,1
20260421,2200,0,3,4990,10,0,11,0,0,53573,303,0,118,1,0,48583,293,0,107,1,0
20260420,2200,-5,5,13928,742,-20418,31,2,-45,78991,743,0,174,2,0,65063,1,20418,143,0,45
20260417,2205,10,2,1,1,-2,0,0,0,72265,1,0,159,0,0,72264,0,2,159,0,0
