stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,22450,-2250,5,-29721,27441,2280,-683,631,52,86722,60631,3302,1972,1386,75,116443,33190,1022,2655,755,23
20260601,24700,-1050,5,-6342,5218,3057,-154,126,76,60757,32755,3923,1494,803,97,67099,27537,866,1648,677,21
20260529,25750,-2750,5,8515,-5057,-1985,218,-127,-53,123375,42549,19827,3224,1118,512,114860,47606,21812,3005,1244,565
20260528,28500,4100,2,-54867,-6350,61208,-1521,-283,1806,509176,243521,87050,14965,7045,2555,564043,249871,25842,16486,7328,749
20260527,24400,-2200,5,-7093,6638,455,-170,159,11,85787,33347,3063,2137,830,76,92880,26709,2608,2307,671,65
20260526,26600,-1300,5,9155,-19997,11322,248,-538,303,130224,40974,17914,3492,1104,480,121069,60971,6592,3244,1642,176
20260522,27900,2350,2,2531,-3141,727,86,-103,20,130806,61610,6766,3632,1700,189,128275,64751,6039,3546,1803,169
20260521,25550,550,2,-2036,-14220,18792,-65,-358,489,87479,42189,23517,2256,1096,610,89515,56409,4725,2321,1454,121
20260520,25000,200,2,-1658,1721,-698,-30,27,-12,71321,52669,6500,1711,1250,159,72979,50948,7198,1741,1223,171
20260519,24800,-1200,5,-6043,19631,-13589,-142,477,-335,58479,46634,3486,1458,1154,87,64522,27003,17075,1599,677,422
20260518,26000,-1500,5,-21711,27357,-4626,-558,701,-117,86860,75844,6109,2230,1949,159,108571,48487,10735,2788,1248,275
20260515,27500,-2250,5,2426,3831,-6114,71,90,-156,137514,47574,17348,3896,1346,493,135088,43743,23462,3826,1256,650
20260514,29750,250,2,-4519,3059,1823,-136,90,56,125971,38296,5079,3731,1135,151,130490,35237,3256,3867,1044,95
20260513,29500,-1900,5,29426,-29265,2189,892,-888,66,157723,27274,15989,4736,822,475,128297,56539,13800,3844,1711,409
20260512,31400,350,2,103918,-107785,11480,3439,-3570,372,434531,116176,21358,14050,3700,687,330613,223961,9878,10611,7270,315
20260511,31050,-1100,5,20547,17360,1701,636,524,52,143006,62043,4430,4413,1910,137,122459,44683,2729,3777,1385,85
20260508,32150,-1600,5,-40162,63176,-23444,-1320,2061,-756,221592,148624,10157,7251,4879,334,261754,85448,33601,8571,2818,1090
20260507,33750,-2100,5,13380,-6412,-8667,477,-237,-299,129923,44784,7406,4510,1553,254,116543,51196,16073,4032,1789,553
20260506,35850,-3150,5,2883,41652,-41245,115,1459,-1455,178104,124465,54270,6484,4499,1977,175221,82813,95515,6368,3040,3432
20260504,39000,-3650,5,21352,-29208,12151,873,-1187,500,285716,98706,20160,11646,4051,834,264364,127914,8009,10773,5238,333
20260430,42650,-8650,5,117188,-93870,-21441,5644,-4590,-943,482026,171469,37582,22691,7955,1680,364838,265339,59023,17046,12544,2623
20260429,51300,3350,2,63514,48728,-60244,3085,2501,-3042,327068,173879,5021,16340,8726,255,263554,125151,65265,13255,6224,3297
20260428,47950,-50,5,44506,-4205,-21418,2182,-237,-1032,204286,89064,6477,9807,4258,310,159780,93269,27895,7625,4496,1342
20260427,48000,4450,2,109105,132824,-18424,5086,6222,-880,430322,338022,96927,20475,16056,4524,321217,205198,115351,15388,9834,5404
20260424,43550,1950,2,-64023,8616,54199,-2896,396,2445,261454,151852,88188,11421,6678,3923,325477,143236,33989,14316,6282,1478
20260423,41600,5150,2,-90658,87739,5998,-3637,3532,239,497495,301393,93134,20604,12380,3846,588153,213654,87136,24241,8848,3607
20260422,36450,150,2,-2822,-23750,34130,-120,-862,1266,140739,57868,45233,5254,2180,1679,143561,81618,11103,5374,3042,413
20260421,36300,50,2,20400,-26680,948,736,-958,33,140631,44614,8521,5032,1598,301,120231,71294,7573,4297,2556,268
20260420,36250,-2200,5,-14939,6790,3827,-500,208,136,216858,104028,5589,7751,3697,200,231797,97238,1762,8251,3489,64
20260417,38450,650,2,-5202,-13913,18912,-50,-677,721,528120,209259,55110,21177,8317,2181,533322,223172,36198,21227,8994,1460
