stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,2050,0,3,7906,94,-8000,16,0,-16,9031,96,4000,18,0,8,1125,2,12000,2,0,24
20260601,2050,-10,5,0,0,0,0,0,0,2400,0,0,5,0,0,2400,0,0,5,0,0
20260529,2060,15,2,-20156,156,20000,-41,0,41,9481,159,20000,19,0,41,29637,3,0,61,0,0
20260528,2045,-5,5,0,0,0,0,0,0,5826,0,0,12,0,0,5826,0,0,12,0,0
20260527,2050,-10,5,-221,224,-3,0,0,0,37317,224,0,77,0,0,37538,0,3,77,0,0
20260526,2060,-5,5,0,0,0,0,0,0,1814,0,0,4,0,0,1814,0,0,4,0,0
20260522,2062,-3,5,286,-286,0,1,-1,0,2394,0,0,5,0,0,2108,286,0,4,1,0
20260521,2065,0,3,-178,178,0,0,0,0,3031,178,0,6,0,0,3209,0,0,7,0,0
20260520,2065,0,3,-1108,108,1000,-2,0,2,4802,108,1000,10,0,2,5910,0,0,12,0,0
20260519,2065,0,3,6,-6,0,0,0,0,1988,0,0,4,0,0,1982,6,0,4,0,0
20260518,2065,-5,5,-6,6,0,0,0,0,872,6,0,2,0,0,878,0,0,2,0,0
20260515,2070,5,2,0,0,0,0,0,0,1714,0,0,4,0,0,1714,0,0,4,0,0
20260514,2065,0,3,3761,-347,-3414,8,-1,-7,10246,0,0,21,0,0,6485,347,3414,13,1,7
20260513,2065,5,2,-19337,-256,19593,-40,-1,41,10501,0,20000,22,0,42,29838,256,407,62,1,1
20260512,2060,-5,5,-20,20,0,0,0,0,2990,20,0,6,0,0,3010,0,0,6,0,0
20260511,2065,-5,5,11187,509,-11696,23,1,-24,15652,679,0,32,1,0,4465,170,11696,9,0,24
20260508,2070,0,3,-64,64,0,0,0,0,1246,64,0,3,0,0,1310,0,0,3,0,0
20260507,2070,-10,5,-2,2,0,0,0,0,589,18,0,1,0,0,591,16,0,1,0,0
20260506,2077,-8,5,0,0,0,0,0,0,401,0,0,1,0,0,401,0,0,1,0,0
20260504,2085,5,2,411,-411,0,1,-1,0,14982,0,0,31,0,0,14571,411,0,30,1,0
20260430,2080,5,2,-5957,-1243,7200,-12,-3,15,1122,0,7200,2,0,15,7079,1243,0,15,3,0
20260429,2075,15,2,-21575,1575,20000,-45,3,42,1850,2184,20000,4,5,42,23425,609,0,49,1,0
20260428,2060,-10,5,-164,164,0,0,0,0,689,164,0,1,0,0,853,0,0,2,0,0
20260427,2070,-10,5,-219,319,-100,0,1,0,7591,370,3900,16,1,8,7810,51,4000,16,0,8
20260424,2080,5,2,-2896,-53,-5128,-6,0,-11,13130,166,0,27,0,0,16026,219,5128,33,0,11
20260423,2075,-5,5,4023,-42,-3981,8,0,-8,15819,0,0,33,0,0,11796,42,3981,25,0,8
20260422,2080,-5,5,4240,-240,-4000,9,0,-8,11521,0,0,24,0,0,7281,240,4000,15,0,8
20260421,2085,15,2,-256,256,0,-1,1,0,32136,301,0,67,1,0,32392,45,0,68,0,0
20260420,2070,0,3,-255,245,0,-1,1,0,52113,751,0,108,2,0,52368,506,0,109,1,0
20260417,2070,15,2,-5773,-227,6000,-12,0,12,6948,31,6000,14,0,12,12721,258,0,26,1,0
