stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,2125,5,2,7936,-44,-7892,17,0,-17,20015,0,0,42,0,0,12079,44,7892,26,0,17
20260601,2120,-25,5,61,-61,0,0,0,0,10502,0,0,22,0,0,10441,61,0,22,0,0
20260529,2145,15,2,-20421,-278,20000,-44,-1,43,4322,1,20000,9,0,43,24743,279,0,53,1,0
20260528,2130,0,3,-196,196,0,0,0,0,3676,203,0,8,0,0,3872,7,0,8,0,0
20260527,2130,0,3,30,-30,0,0,0,0,3458,0,0,7,0,0,3428,30,0,7,0,0
20260526,2130,-20,5,208,-208,0,0,0,0,5895,0,0,13,0,0,5687,208,0,12,0,0
20260522,2150,20,2,0,0,0,0,0,0,7844,0,0,17,0,0,7844,0,0,17,0,0
20260521,2130,5,2,-538,-462,1000,-1,-1,2,33389,0,1000,71,0,2,33927,462,0,72,1,0
20260520,2125,-5,5,-989,-11,1000,-2,0,2,8397,0,1000,18,0,2,9386,11,0,20,0,0
20260519,2130,-10,5,-762,762,0,-2,2,0,5011,762,0,11,2,0,5773,0,0,12,0,0
20260518,2140,15,2,-19801,-199,20000,-42,0,43,5245,114,20000,11,0,43,25046,313,0,54,1,0
20260515,2125,-15,5,2286,179,-2465,5,0,-5,11927,179,0,25,0,0,9641,0,2465,20,0,5
20260514,2140,-5,5,5486,-486,0,12,-1,0,14569,70,0,31,0,0,9083,556,0,19,1,0
20260513,2145,25,2,-20561,561,20000,-44,1,43,13575,608,20000,29,1,43,34136,47,0,73,0,0
20260512,2120,-5,5,-47,47,0,0,0,0,2927,78,0,6,0,0,2974,31,0,6,0,0
20260511,2125,-10,5,7372,3998,-11370,16,8,-24,16589,4291,200,35,9,0,9217,293,11570,19,1,24
20260508,2135,-10,5,0,0,0,0,0,0,8989,0,0,19,0,0,8989,0,0,19,0,0
20260507,2145,0,3,80,-80,0,0,0,0,2465,0,0,5,0,0,2385,80,0,5,0,0
20260506,2145,0,3,-91,91,0,0,0,0,230,91,0,0,0,0,321,0,0,1,0,0
20260504,2145,10,2,-34076,-94,34170,-73,0,73,14127,540,34170,30,1,73,48203,634,0,103,1,0
20260430,2135,10,2,-7585,-515,8100,-16,-1,17,477,0,8100,1,0,17,8062,515,0,17,1,0
20260429,2125,5,2,-20484,484,20000,-44,1,43,5715,1509,20000,12,3,43,26199,1025,0,56,2,0
20260428,2120,-10,5,-187,187,0,0,0,0,40013,207,0,85,0,0,40200,20,0,85,0,0
20260427,2130,-20,5,-58,58,0,0,0,0,35510,90,0,75,0,0,35568,32,0,75,0,0
20260424,2150,-5,5,0,0,0,0,0,0,8317,0,0,18,0,0,8317,0,0,18,0,0
20260423,2155,-10,5,-156,156,0,0,0,0,9271,156,0,20,0,0,9427,0,0,20,0,0
20260422,2165,0,3,0,0,0,0,0,0,2191,141,0,5,0,0,2191,141,0,5,0,0
20260421,2165,5,2,77,-77,0,0,0,0,296,0,0,1,0,0,219,77,0,0,0,0
20260420,2160,0,3,-19735,-265,20000,-43,-1,43,1566,31,20000,3,0,43,21301,296,0,46,1,0
20260417,2160,5,2,1,-1,0,0,0,0,7015,416,0,15,1,0,7014,417,0,15,1,0
