stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,1983,-12,5,10056,-9056,-1000,20,-18,-2,37799,1947,11000,75,4,22,27743,11003,12000,55,22,24
20260601,1995,-5,5,3558,-3558,0,7,-7,0,6435,52,0,13,0,0,2877,3610,0,6,7,0
20260529,2000,2,2,-21853,1394,20459,-44,3,41,215,1395,20459,0,3,41,22068,1,0,44,0,0
20260528,1998,0,3,-8716,0,8716,-17,0,17,426,10,8716,1,0,17,9142,10,0,18,0,0
20260527,1998,6,2,2400,-2400,0,5,-5,0,4125,0,0,8,0,0,1725,2400,0,3,5,0
20260526,1992,-3,5,-3921,-79,4000,-8,0,8,9317,284,8000,19,1,16,13238,363,4000,26,1,8
20260522,1995,2,2,8560,61,-8621,17,0,-17,9004,158,0,18,0,0,444,97,8621,1,0,17
20260521,1993,-7,5,944,-372,-572,2,-1,-1,1686,0,0,3,0,0,742,372,572,1,1,1
20260520,2000,3,2,7773,3,-7776,16,0,-16,18862,3,0,38,0,0,11089,0,7776,22,0,16
20260519,1997,0,3,-7923,366,7557,-16,1,15,6103,421,8151,12,1,16,14026,55,594,28,0,1
20260518,1997,6,2,-209,416,-207,0,1,0,11469,604,6490,23,1,13,11678,188,6697,23,0,13
20260515,1991,-8,5,15021,-21,-15000,30,0,-30,18836,0,3000,37,0,6,3815,21,18000,8,0,36
20260514,1999,1,2,-1475,-59,1534,-3,0,3,2169,1,1534,4,0,3,3644,60,0,7,0,0
20260513,1998,0,3,4949,-207,-4742,10,0,-9,15524,161,6529,31,0,13,10575,368,11271,21,1,22
20260512,1998,-7,5,8434,1,-8435,17,0,-17,15524,391,6529,31,1,13,7090,390,14964,14,1,30
20260511,2005,0,3,-6594,60,6534,-13,0,13,13990,60,6534,28,0,13,20584,0,0,41,0,0
20260508,2005,5,2,-1570,52,1518,-3,0,3,5950,52,1518,12,0,3,7520,0,0,15,0,0
20260507,2000,3,2,-5224,-600,5824,-10,-1,12,11190,120,5824,22,0,12,16414,720,0,33,1,0
20260506,1997,-3,5,-164,164,0,0,0,0,6424,164,0,13,0,0,6588,0,0,13,0,0
20260504,2000,1,2,5,-5,0,0,0,0,2824,0,0,6,0,0,2819,5,0,6,0,0
20260430,1999,1,2,239,5,-244,0,0,0,2159,5,38,4,0,0,1920,0,282,4,0,1
20260429,1998,0,3,-254,254,0,-1,1,0,2345,254,0,5,1,0,2599,0,0,5,0,0
20260428,1998,0,3,1646,-2193,547,3,-4,1,50011,346,10000,100,1,20,48365,2539,9453,97,5,19
20260427,1998,-7,5,-7537,537,7000,-15,1,14,18187,537,7000,36,1,14,25724,0,0,51,0,0
20260424,2005,0,3,-10037,1631,0,-20,3,0,12529,1631,0,25,3,0,22566,0,0,45,0,0
20260423,2005,-5,5,3158,-101,-3057,6,0,-6,9692,230,14327,19,0,29,6534,331,17384,13,1,35
20260422,2010,10,2,2513,19,-2532,5,0,-5,4076,19,1468,8,0,3,1563,0,4000,3,0,8
20260421,2000,-10,5,5123,-723,-4400,10,-1,-9,8523,0,0,17,0,0,3400,723,4400,7,1,9
20260420,2010,5,2,412,-423,0,1,-1,0,6315,0,0,13,0,0,5903,423,0,12,1,0
20260417,2005,0,3,1300,-591,-709,2,-1,-1,34375,655,25942,69,1,52,33075,1246,26651,66,2,53
