stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,1986,0,3,78,-189,111,0,0,0,4239,1,111,8,0,0,4161,190,0,8,0,0
20260601,1986,-12,5,-190,190,0,0,0,0,5317,410,0,11,1,0,5507,220,0,11,0,0
20260529,1998,3,2,-19979,-21,20000,-40,0,40,3417,204,20000,7,0,40,23396,225,0,47,0,0
20260528,1995,0,3,-21,21,0,0,0,0,1001,21,0,2,0,0,1022,0,0,2,0,0
20260527,1995,-5,5,0,0,0,0,0,0,5081,0,0,10,0,0,5081,0,0,10,0,0
20260526,2000,-5,5,0,0,0,0,0,0,4853,0,0,10,0,0,4853,0,0,10,0,0
20260522,2005,0,3,0,0,0,0,0,0,2584,0,0,5,0,0,2584,0,0,5,0,0
20260521,2005,9,2,191,-191,0,0,0,0,2156,0,0,4,0,0,1965,191,0,4,0,0
20260520,1996,0,3,191,-191,0,0,0,0,6500,0,0,13,0,0,6309,191,0,13,0,0
20260519,1996,-3,5,-1265,882,0,-3,2,0,8502,882,0,17,2,0,9767,0,0,19,0,0
20260518,1999,0,3,0,0,0,0,0,0,2838,0,0,6,0,0,2838,0,0,6,0,0
20260515,1999,-6,5,0,0,0,0,0,0,1744,0,0,3,0,0,1744,0,0,3,0,0
20260514,2005,0,3,0,0,0,0,0,0,1067,0,0,2,0,0,1067,0,0,2,0,0
20260513,2005,6,2,-4984,0,4984,-10,0,10,5366,0,4984,11,0,10,10350,0,0,21,0,0
20260512,1999,2,2,-44,44,0,0,0,0,4566,44,0,9,0,0,4610,0,0,9,0,0
20260511,1997,-3,5,41,-41,0,0,0,0,5603,38,0,11,0,0,5562,79,0,11,0,0
20260508,2000,0,3,-175,175,0,0,0,0,2258,175,0,5,0,0,2433,0,0,5,0,0
20260507,2000,1,2,-60,60,0,0,0,0,1855,60,0,4,0,0,1915,0,0,4,0,0
20260506,1999,-6,5,-82,82,0,0,0,0,7900,82,0,16,0,0,7982,0,0,16,0,0
20260504,2005,0,3,-100,100,0,0,0,0,3403,100,0,7,0,0,3503,0,0,7,0,0
20260430,2005,5,2,-118,118,0,0,0,0,3084,118,0,6,0,0,3202,0,0,6,0,0
20260429,2000,-5,5,-50,50,0,0,0,0,1411,76,0,3,0,0,1461,26,0,3,0,0
20260428,2005,-5,5,-10253,253,10000,-21,1,20,12456,253,10000,25,1,20,22709,0,0,45,0,0
20260427,2010,0,3,-1124,124,1000,-2,0,2,10785,124,1000,22,0,2,11909,0,0,24,0,0
20260424,2010,0,3,-8420,0,0,-17,0,0,17548,0,0,35,0,0,25968,0,0,52,0,0
20260423,2010,0,3,-1183,0,1183,-2,0,2,2129,0,1183,4,0,2,3312,0,0,7,0,0
20260422,2010,0,3,-1464,0,1464,-3,0,3,1748,0,1464,3,0,3,3212,0,0,6,0,0
20260421,2010,0,3,0,0,0,0,0,0,1378,0,0,3,0,0,1378,0,0,3,0,0
20260420,2010,0,3,-1287,0,0,-3,0,0,2236,0,0,5,0,0,3523,0,0,7,0,0
20260417,2010,0,3,-1464,0,1464,-3,0,3,92,0,1464,0,0,3,1556,0,0,3,0,0
