stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,1989,-3,5,-8402,-3998,7400,-17,-8,15,52418,2718,19000,104,5,38,60820,6716,11600,121,13,23
20260601,1992,-8,5,-13261,1261,12000,-26,3,24,48681,1271,12000,97,3,24,61942,10,0,123,0,0
20260529,2000,3,2,-30192,-308,30500,-61,-1,61,22524,1395,30600,45,3,61,52716,1703,100,106,3,0
20260528,1997,0,3,-10094,-10,10104,-20,0,20,9012,442,10104,18,1,20,19106,452,0,38,1,0
20260527,1997,-3,5,-345,-1653,0,-1,-3,0,25058,161,0,50,0,0,25403,1814,0,51,4,0
20260526,2000,1,2,-14167,-1112,15279,-28,-2,31,34443,382,15279,69,1,31,48610,1494,0,97,3,0
20260522,1999,-6,5,502,-1000,0,1,-2,0,24101,0,0,48,0,0,23599,1000,0,47,2,0
20260521,2005,5,2,1975,-1975,0,4,-4,0,28502,458,0,57,1,0,26527,2433,0,53,5,0
20260520,2000,2,2,-15045,1867,13178,-30,4,26,53624,3934,13178,107,8,26,68669,2067,0,137,4,0
20260519,1998,1,2,-361,361,0,-1,1,0,24281,889,0,49,2,0,24642,528,0,49,1,0
20260518,1997,-3,5,-4683,-317,5000,-9,-1,10,45482,1443,5000,91,3,10,50165,1760,0,100,4,0
20260515,2000,-5,5,-20518,518,20000,-41,1,40,44306,1013,20000,89,2,40,64824,495,0,130,1,0
20260514,2005,-10,5,120,-120,0,0,0,0,36367,10,0,73,0,0,36247,130,0,73,0,0
20260513,2015,10,2,-24127,1127,23000,-49,2,46,25879,2475,23000,52,5,46,50006,1348,0,100,3,0
20260512,2005,-10,5,-16148,-228,16376,-32,0,33,20908,30,16376,42,0,33,37056,258,0,74,1,0
20260511,2015,10,2,-20101,101,20000,-40,0,40,101878,409,20000,204,1,40,121979,308,0,245,1,0
20260508,2005,-10,5,-68,68,0,0,0,0,32916,70,0,66,0,0,32984,2,0,66,0,0
20260507,2015,5,2,-29913,-387,30300,-60,-1,61,73819,132,30300,148,0,61,103732,519,0,208,1,0
20260506,2010,-5,5,244,-244,0,0,0,0,56514,162,0,113,0,0,56270,406,0,113,1,0
20260504,2015,0,3,171,-171,0,0,0,0,45618,1120,0,92,2,0,45447,1291,0,92,3,0
20260430,2015,-5,5,-18308,208,18100,-37,0,37,25009,628,18100,50,1,37,43317,420,0,87,1,0
20260429,2020,5,2,-21065,565,20500,-43,1,41,19290,1513,20500,39,3,41,40355,948,0,81,2,0
20260428,2015,0,3,-3465,246,500,-7,0,1,33583,346,500,68,1,1,37048,100,0,75,0,0
20260427,2015,-10,5,-448,108,340,-1,0,1,58112,135,340,117,0,1,58560,27,0,118,0,0
20260424,2025,5,2,-9042,682,0,-18,1,0,32559,4682,0,66,10,0,41601,4000,0,84,8,0
20260423,2020,-10,5,-1076,416,660,-2,1,1,58498,430,660,118,1,1,59574,14,0,120,0,0
20260422,2030,-5,5,-7,7,0,0,0,0,25462,10,0,52,0,0,25469,3,0,52,0,0
20260421,2035,5,2,-44810,-190,45000,-91,0,91,22638,0,45000,46,0,91,67448,190,0,137,0,0
20260420,2030,-10,5,3027,-3047,0,6,-6,0,37321,252,0,76,1,0,34294,3299,0,69,7,0
20260417,2040,20,2,-22992,-2008,25000,-47,-4,51,185089,75,25000,376,0,51,208081,2083,0,422,4,0
