stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,51900,-2100,5,-10686,11475,-1416,-554,596,-74,11675,18146,2433,604,943,126,22361,6671,3849,1158,347,200
20260601,54000,-3300,5,-3455,6083,-2390,-189,331,-129,16591,16000,975,898,871,53,20046,9917,3365,1086,540,182
20260529,57300,-2600,5,1808,-2425,-383,92,-129,-21,20065,8242,983,1127,472,56,18257,10667,1366,1035,601,77
20260528,59900,-1700,5,1916,-1135,-790,114,-67,-48,17739,7349,945,1051,437,56,15823,8484,1735,937,504,104
20260527,61600,-3700,5,3486,-3197,-290,218,-198,-20,22927,9522,2204,1437,600,137,19441,12719,2494,1219,797,156
20260526,65300,2100,2,23382,-23583,64,1564,-1576,4,42537,7659,1782,2835,508,118,19155,31242,1718,1271,2084,114
20260522,63200,4200,2,-4054,5718,-1319,-246,352,-84,16795,16285,1361,1068,1025,86,20849,10567,2680,1315,673,170
20260521,59000,-100,5,-313,2901,-2508,-23,177,-150,11878,11462,291,709,689,18,12191,8561,2799,732,511,167
20260520,59100,-2900,5,-7848,6613,1182,-455,385,68,14748,14252,3844,861,835,224,22596,7639,2662,1317,450,156
20260519,62000,-100,5,-3871,4015,-197,-233,244,-13,9597,12912,1570,581,785,95,13468,8897,1767,815,541,108
20260518,62100,-3300,5,-11704,11168,81,-715,683,5,11707,18870,2028,713,1154,124,23411,7702,1947,1428,471,119
20260515,65400,-3200,5,1914,-4590,-529,128,-301,-37,22484,10133,2561,1485,669,168,20570,14723,3090,1357,971,205
20260514,68600,300,2,-623,1016,-38,-42,70,-3,11246,6921,1075,766,472,73,11869,5905,1113,808,402,76
20260513,68300,-600,5,-257,-1854,-85,-15,-128,-6,17662,10779,1794,1193,728,121,17919,12633,1879,1208,857,127
20260512,68900,-100,5,-10140,6872,-185,-701,480,-15,24214,22799,4163,1673,1577,289,34354,15927,4348,2374,1096,304
20260511,69000,-3000,5,-9487,5478,-274,-650,374,-19,33653,16936,2947,2317,1165,202,43140,11458,3221,2967,791,222
20260508,72000,-1000,5,5395,-7937,66,375,-557,5,24446,9331,1540,1776,695,113,19051,17268,1474,1402,1252,108
20260507,73000,900,2,-430,-3503,843,-31,-252,62,27426,11789,3488,1995,859,255,27856,15292,2645,2026,1111,193
20260506,72100,-1500,5,-1751,-921,392,-126,-67,28,28472,10655,2520,2046,768,181,30223,11576,2128,2172,835,153
20260504,73600,-2200,5,10894,-11424,-234,800,-841,-18,35788,8138,1011,2666,615,76,24894,19562,1245,1866,1455,94
20260430,75800,-2100,5,12308,-6577,-5796,936,-503,-438,25643,8921,723,1955,680,55,13335,15498,6519,1019,1183,493
20260429,77900,-500,5,-5750,6171,-4506,-443,477,-349,29021,20790,1358,2246,1612,105,34771,14619,5864,2689,1135,454
20260428,78400,-2100,5,7922,-7408,-786,622,-582,-62,29175,6771,1546,2299,536,122,21253,14179,2332,1677,1117,184
20260427,80500,900,2,-8365,9928,-2030,-673,802,-166,27653,15533,1562,2224,1252,125,36018,5605,3592,2897,450,291
20260424,79600,-2100,5,11333,-10843,-3357,908,-868,-268,38314,6233,2026,3068,500,162,26981,17076,5383,2160,1368,431
20260423,81700,3000,2,-4882,6042,1419,-393,483,119,47494,17980,6654,3777,1434,536,52376,11938,5235,4169,951,417
20260422,78700,-800,5,-4287,3508,-369,-340,275,-24,29243,14660,6723,2317,1159,533,33530,11152,7092,2657,884,557
20260421,79500,-2500,5,-2640,-1588,-2055,-205,-129,-162,49329,10700,1819,3909,849,144,51969,12288,3874,4114,978,306
20260420,82000,-1200,5,10367,-7569,-7853,857,-627,-646,40238,9839,775,3323,812,64,29871,17408,8628,2466,1440,710
20260417,83200,-4400,5,39222,-27328,-12511,3286,-2295,-1042,79391,4103,1026,6644,342,85,40169,31431,13537,3359,2637,1128
