stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,464000,-18500,5,10498,-10150,-10,4827,-4675,3,28431,14479,6857,13114,6692,3170,17933,24629,6867,8288,11366,3168
20260601,482500,-1500,5,-8613,5484,3253,-4088,2596,1551,20157,35724,6570,9505,16945,3132,28770,30240,3317,13593,14349,1581
20260529,484000,13500,2,-7574,21460,-13072,-4030,10475,-6058,39711,175925,6523,18080,83999,3025,47285,154465,19595,22111,73524,9084
20260528,470500,-13500,5,4844,-3354,-1517,2268,-1576,-704,24715,20564,3230,11576,9639,1515,19871,23918,4747,9308,11215,2219
20260527,484000,-6000,5,727,-2717,988,337,-1304,485,25026,23946,5762,12142,11630,2798,24299,26663,4774,11805,12935,2313
20260526,490000,-10000,5,7318,-9207,1038,3620,-4559,515,20400,12196,5175,10150,6079,2570,13082,21403,4137,6530,10638,2055
20260522,500000,15000,2,-10562,8389,2165,-5364,4258,1102,18618,27567,5842,9482,13963,2967,29180,19178,3677,14846,9705,1864
20260521,485000,20500,2,-7942,14385,-7048,-3867,6997,-3427,9496,28831,3020,4603,14040,1472,17438,14446,10068,8470,7043,4899
20260520,464500,-14500,5,-9814,12281,-1740,-4557,5692,-799,13990,30852,3687,6516,14342,1722,23804,18571,5427,11073,8650,2521
20260519,479000,-17500,5,929,-735,-737,506,-407,-357,30555,26924,3294,14723,12903,1578,29626,27659,4031,14217,13310,1935
20260518,496500,-10500,5,4113,202,-3850,2013,106,-1891,24438,20349,3467,11977,9994,1711,20325,20147,7317,9964,9888,3602
20260515,507000,-20000,5,3085,-2849,-123,1477,-1369,-52,31572,18771,5496,16097,9630,2821,28487,21620,5619,14620,10999,2873
20260514,527000,22000,2,-4520,2951,1637,-2342,1490,887,19576,18762,8455,10116,9679,4397,24096,15811,6818,12458,8189,3510
20260513,505000,-15000,5,15310,-9784,-4733,7776,-5003,-2373,43243,16622,2910,22063,8478,1503,27933,26406,7643,14288,13480,3876
20260512,520000,5000,2,-1890,44,-380,-972,-2,-189,44184,31299,6383,22952,16236,3316,46074,31255,6763,23924,16238,3505
20260511,515000,-15000,5,14342,8097,-22756,7393,4217,-11774,36586,26758,4391,18969,13892,2278,22244,18661,27147,11576,9675,14052
20260508,530000,4000,2,4954,-5163,-1851,2590,-2706,-975,27015,14987,2595,14285,7956,1376,22061,20150,4446,11695,10663,2350
20260507,526000,11000,2,14157,-10906,-2328,7422,-5716,-1224,36214,14909,3346,19057,7868,1761,22057,25815,5674,11635,13585,2985
20260506,515000,-14000,5,27357,-7661,-19275,14169,-3986,-9964,44004,21153,1160,22809,10952,603,16647,28814,20435,8641,14938,10567
20260504,529000,-14000,5,30031,-17978,-12044,15911,-9557,-6351,52846,10078,2271,28019,5340,1204,22815,28056,14315,12108,14897,7554
20260430,543000,-16000,5,16794,-5234,-12240,9251,-2899,-6726,34367,15093,4245,18919,8258,2323,17573,20327,16485,9668,11157,9049
20260429,559000,-9000,5,10869,-7605,-1493,6090,-4272,-828,23241,6724,4064,13044,3775,2275,12372,14329,5557,6954,8048,3103
20260428,568000,2000,2,-1397,1325,-428,-801,753,-235,20773,12071,6993,11751,6840,3970,22170,10746,7421,12553,6087,4206
20260427,566000,-8000,5,16429,-7705,-10174,9341,-4409,-5758,30000,12532,2900,17063,7116,1651,13571,20237,13074,7722,11525,7410
20260424,574000,-13000,5,12962,-12485,84,7489,-7247,85,42314,19045,13101,24634,11124,7607,29352,31530,13017,17145,18371,7522
20260423,587000,25000,2,3626,-7889,2769,2060,-4537,1617,41052,23998,12869,23635,13821,7393,37426,31887,10100,21575,18358,5777
20260422,562000,-11000,5,11833,-5931,-6249,6616,-3319,-3491,32471,21148,4236,18196,11836,2370,20638,27079,10485,11580,15155,5861
20260421,573000,-6000,5,7898,-2213,-4937,4529,-1277,-2822,27206,10588,4003,15618,6075,2299,19308,12801,8940,11089,7353,5121
20260420,579000,-12000,5,2847,-1493,-1432,1662,-874,-833,23157,12596,3623,13532,7359,2119,20310,14089,5055,11870,8233,2952
20260417,591000,-18000,5,16117,-14651,-1944,9508,-8646,-1140,38427,14776,3285,22666,8707,1938,22310,29427,5229,13158,17354,3078
