stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,21950,-150,5,-1323,1230,93,-29,27,2,3607,2303,378,79,50,8,4930,1073,285,108,23,6
20260601,22100,-700,5,3082,-3090,8,68,-68,0,8664,1430,11,193,32,0,5582,4520,3,125,100,0
20260529,22800,-650,5,-838,829,9,-19,19,0,7707,2559,10,176,59,0,8545,1730,1,195,40,0
20260528,23450,-250,5,-1080,1070,10,-25,25,0,3791,2038,613,88,47,14,4871,968,603,113,23,14
20260527,23700,-750,5,-540,641,-101,-13,16,-2,4767,1576,1,114,38,0,5307,935,102,127,23,2
20260526,24450,-150,5,496,-220,83,12,-5,2,3361,1072,167,83,26,4,2865,1292,84,70,32,2
20260522,24600,1000,2,1856,-1864,8,46,-46,0,4440,1080,11,109,26,0,2584,2944,3,63,73,0
20260521,23600,200,2,21,2527,-547,0,60,-13,2837,3073,4,67,73,0,2816,546,551,67,13,13
20260520,23400,-900,5,4274,-324,-3950,99,-8,-91,10021,2947,65,233,69,2,5747,3271,4015,135,77,92
20260519,24300,-650,5,-1159,987,172,-28,24,4,3198,1646,452,79,40,11,4357,659,280,107,17,7
20260518,24950,-400,5,557,-543,-14,14,-14,0,3329,1007,248,83,25,6,2772,1550,262,69,39,7
20260515,25350,-600,5,3192,-3210,17,81,-81,0,8837,1004,25,224,26,1,5645,4214,8,144,107,0
20260514,25950,350,2,-1397,1360,-59,-36,35,-2,1950,1610,18,50,41,0,3347,250,77,85,6,2
20260513,25600,0,3,1765,-1811,39,46,-47,1,4527,123,65,117,3,2,2762,1934,26,72,50,1
20260512,25600,-900,5,3085,-2310,-475,79,-60,-12,7762,381,56,200,10,1,4677,2691,531,121,69,14
20260511,26500,-400,5,1074,-1073,-1,29,-28,0,5512,157,4,146,4,0,4438,1230,5,118,33,0
20260508,26900,-150,5,317,-319,2,9,-9,0,2116,251,6,57,7,0,1799,570,4,48,15,0
20260507,27050,-350,5,987,-289,-43,27,-8,-1,3796,209,2,103,6,0,2809,498,45,76,14,1
20260506,27400,-450,5,2039,-1462,-74,56,-40,-2,7161,170,2,196,5,0,5122,1632,76,140,45,2
20260504,27850,-50,5,1317,-922,-86,37,-26,-2,3472,78,3,96,2,0,2155,1000,89,60,28,2
20260430,27900,-900,5,1106,-574,-32,31,-16,-1,3219,403,11,90,11,0,2113,977,43,59,27,1
20260429,28800,1500,2,-2190,1377,813,-60,37,23,14583,4450,930,412,125,26,16773,3073,117,472,88,3
20260428,27300,0,3,-848,514,334,-23,14,9,5069,1825,336,138,50,9,5917,1311,2,161,36,0
20260427,27300,-150,5,2302,-2368,66,63,-64,2,4504,638,256,123,17,7,2202,3006,190,60,82,5
20260424,27450,-50,5,-469,404,65,-13,11,2,5791,1692,139,160,47,4,6260,1288,74,173,36,2
20260423,27500,0,3,898,-946,48,25,-26,1,4633,181,49,127,5,1,3735,1127,1,102,31,0
20260422,27500,-50,5,519,-543,2,14,-15,0,2216,262,2,61,7,0,1697,805,0,46,22,0
20260421,27550,-50,5,511,-511,0,14,-14,0,4044,289,1,111,8,0,3533,800,1,97,22,0
20260420,27600,-150,5,1442,-1442,0,40,-40,0,2961,45,2,82,1,0,1519,1487,2,42,41,0
20260417,27750,-200,5,1046,-1050,4,29,-29,0,4136,430,9,115,12,0,3090,1480,5,86,41,0
