stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,4225,155,2,22617,-4637,0,93,-19,0,147987,60711,618,609,248,3,125370,65348,618,516,267,3
20260601,4070,-45,5,60497,-38043,-44,243,-153,0,165695,38383,1125,669,159,5,105198,76426,1169,426,312,5
20260529,4115,150,2,8056,22744,-300,36,90,-1,157503,84910,2302,645,346,9,149447,62166,2602,609,256,11
20260528,3965,-5,5,13701,2768,95,53,11,0,113942,46486,2130,448,183,8,100241,43718,2035,395,172,8
20260527,3970,-260,5,17865,-17414,-451,71,-69,-2,129354,21480,1008,514,85,4,111489,38894,1459,443,155,6
20260526,4230,-95,5,69594,-58059,700,310,-260,3,243080,59724,2242,1077,265,10,173486,117783,1542,767,525,7
20260522,4325,25,2,19640,-6379,0,84,-27,0,126693,51550,1181,542,221,5,107053,57929,1181,458,248,5
20260521,4300,870,2,120047,-72028,-19,485,-293,0,507720,160018,988,2065,642,4,387673,232046,1007,1580,935,4
20260520,3430,-145,5,4457,5730,-187,16,19,-1,53317,28688,1226,184,99,4,48860,22958,1413,168,80,5
20260519,3575,125,2,27202,-1975,-227,97,-8,-1,69478,29285,2364,246,103,8,42276,31260,2591,149,111,9
20260518,3450,-190,5,5051,11466,433,18,40,1,42685,35914,1389,150,126,5,37634,24448,956,132,86,3
20260515,3640,-50,5,7741,11121,-364,32,37,-1,63499,43778,1543,233,158,5,55758,32657,1907,201,122,7
20260514,3690,-45,5,19634,546,279,74,1,1,63127,35464,2026,234,131,7,43493,34918,1747,161,130,7
20260513,3735,-195,5,-12133,14084,-25,-45,53,0,44025,39066,1166,167,148,4,56158,24982,1191,212,95,5
20260512,3930,-190,5,6086,-6256,110,25,-26,1,86252,40268,485,348,162,2,80166,46524,375,323,188,1
20260511,4120,-195,5,-25248,25395,-147,-105,106,-1,58111,46953,580,242,196,2,83359,21558,727,347,90,3
20260508,4315,-85,5,-4779,4974,-245,-21,22,-1,52508,22308,423,230,98,2,57287,17334,668,251,76,3
20260507,4400,-320,5,-4044,3652,392,-17,15,2,70635,23797,619,320,108,3,74679,20145,227,337,93,1
20260506,4720,-180,5,55102,-55722,0,254,-257,0,185092,23531,747,848,107,3,129990,79253,747,594,364,4
20260504,4900,95,2,2976,-2855,-121,15,-14,-1,103497,39269,0,493,188,0,100521,42124,121,478,202,1
20260430,4805,15,2,4374,-3956,-418,21,-19,-2,34098,9478,0,162,45,0,29724,13434,418,141,64,2
20260429,4790,-20,5,2009,-1990,-199,9,-9,-1,39553,16308,791,190,79,4,37544,18298,990,181,88,5
20260428,4810,-25,5,-92,-696,0,0,-4,0,43261,16820,0,210,82,0,43353,17516,0,210,85,0
20260427,4835,-475,5,25159,-25867,0,122,-126,0,260982,63416,0,1275,312,0,235823,89283,0,1152,437,0
20260424,5310,70,2,-6968,7154,0,-36,37,0,74781,23638,0,393,125,0,81749,16484,0,429,87,0
20260423,5240,-50,5,18540,-18726,0,98,-99,0,78888,14212,0,415,75,0,60348,32938,0,317,174,0
20260422,5290,150,2,-1256,-2554,0,-7,-13,0,43935,19498,0,229,101,0,45191,22052,0,236,115,0
20260421,5140,-90,5,-1452,1262,0,-9,8,0,147648,51765,0,781,276,0,149100,50503,0,790,267,0
20260420,5230,-140,5,2339,-2108,0,12,-11,0,92254,20994,0,484,111,0,89915,23102,0,472,122,0
20260417,5370,20,2,13961,-14944,0,72,-78,0,231397,66248,0,1264,363,0,217436,81192,0,1192,440,0
