stck_bsop_date,stck_clpr,prdy_vrss,prdy_vrss_sign,prsn_ntby_qty,frgn_ntby_qty,orgn_ntby_qty,prsn_ntby_tr_pbmn,frgn_ntby_tr_pbmn,orgn_ntby_tr_pbmn,prsn_shnu_vol,frgn_shnu_vol,orgn_shnu_vol,prsn_shnu_tr_pbmn,frgn_shnu_tr_pbmn,orgn_shnu_tr_pbmn,prsn_seln_vol,frgn_seln_vol,orgn_seln_vol,prsn_seln_tr_pbmn,frgn_seln_tr_pbmn,orgn_seln_tr_pbmn
20260602,42450,-800,5,1468,446,-1914,61,18,-80,2308,1286,250,96,53,10,840,840,2164,35,35,90
20260601,43250,-2950,5,2255,-1083,-3843,97,-47,-166,7039,1433,517,304,62,22,4784,2516,4360,207,109,188
20260529,46200,-800,5,5524,2502,-8031,252,114,-366,7134,3354,8,325,153,0,1610,852,8039,73,39,366
20260528,47000,-1000,5,4761,-187,-4574,220,-8,-211,6696,708,4,309,33,0,1935,895,4578,89,41,211
20260527,48000,-2000,5,87,-2786,2766,5,-134,133,6192,357,2767,297,17,133,6105,3143,1,292,152,0
20260526,50000,0,3,-540,-2417,2957,-28,-123,151,2003,536,2958,101,27,151,2543,2953,1,129,150,0
20260522,50000,1400,2,-1280,-899,2043,-64,-44,101,414,325,2043,20,16,101,1694,1224,0,84,60,0
20260521,48600,4050,2,-1802,-1698,3500,-87,-81,168,941,691,3500,45,33,168,2743,2389,0,132,114,0
20260520,44550,-2100,5,109,-109,0,5,-5,0,1813,591,30,81,26,1,1704,700,30,76,31,1
20260519,46650,-950,5,-864,-113,994,-40,-5,46,1843,1800,1273,84,83,59,2707,1913,279,124,88,13
20260518,47600,-700,5,338,3678,-4016,16,171,-187,3457,5772,53,161,269,2,3119,2094,4069,145,98,189
20260515,48300,-1700,5,930,2506,-3264,49,124,-165,9911,9437,10282,487,462,500,8981,6931,13546,438,338,665
20260514,50000,1000,2,8646,3797,-12465,425,186,-612,9913,5742,367,488,282,18,1267,1945,12832,63,96,630
20260513,49000,-2300,5,11057,3475,-14532,546,171,-716,12637,6260,619,624,309,31,1580,2785,15151,79,138,747
20260512,51300,-3100,5,2880,2454,-5437,147,125,-278,6943,5895,990,358,303,51,4063,3441,6427,211,177,329
20260511,54400,-2400,5,1732,-1037,-695,94,-57,-38,5018,1208,392,276,67,22,3286,2245,1087,182,123,60
20260508,56800,-3900,5,4310,-3342,-968,244,-189,-55,6240,577,621,354,33,35,1930,3919,1589,110,222,90
20260507,60700,5100,2,-12607,2808,9769,-749,166,581,7650,4951,10292,452,293,612,20257,2143,523,1202,127,31
20260506,55600,1200,2,-2292,292,2000,-127,16,111,6862,2088,2261,377,115,125,9154,1796,261,504,99,14
20260504,54400,-4600,5,13400,-1272,-12129,720,-68,-652,20742,4600,792,1116,250,43,7342,5872,12921,397,318,694
20260430,59000,-1200,5,2565,-45,-2370,148,-3,-136,6224,1315,714,360,76,42,3659,1360,3084,212,79,178
20260429,60200,600,2,67,-567,500,2,-33,31,3731,900,1180,220,53,71,3664,1467,680,218,87,40
20260428,59600,1000,2,-11213,-3523,14741,-687,-212,900,6701,10029,15442,404,612,943,17914,13552,701,1092,824,43
20260427,58600,-800,5,1921,-2321,400,112,-135,23,12768,1096,589,742,64,34,10847,3417,189,630,199,11
20260424,59400,900,2,4103,-1103,-3000,236,-64,-171,7857,1548,617,452,89,36,3754,2651,3617,216,154,207
20260423,58500,-100,5,1114,-1034,0,65,-61,0,2983,522,411,175,31,24,1869,1556,411,110,91,24
20260422,58600,-1400,5,-4752,-59,4811,-279,-4,283,7654,1094,5459,447,64,321,12406,1153,648,726,67,38
20260421,60000,2400,2,-1976,-412,2489,-120,-24,150,7120,4032,2989,423,240,180,9096,4444,500,543,264,30
20260420,57600,-1400,5,1495,-500,-995,87,-29,-58,4972,305,78,291,18,5,3477,805,1073,204,47,63
20260417,59000,500,2,-3171,161,3510,-189,9,208,7714,1448,3855,450,85,228,10885,1287,345,638,75,20
